,Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
335,Core i7,5.0,1 TB,16,INTEGRATED,0,No,35.56,4096000,142990.0
337,Ryzen 5 Hexa Core,4.0,256 GB,8,INTEGRATED,0,No,39.62,2073600,53990.0
338,Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,82890.0
339,Core i5,4.6,512 GB,8,INTEGRATED,0,No,35.56,2073600,59990.0
341,Core i5,2.4,512 GB,16,INTEGRATED,0,Yes,34.04,2304000,82990.0
342,Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600,63990.0
344,Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600,66998.0
345,Celeron Dual Core,,256 GB,8,INTEGRATED,0,No,39.62,2073600,23490.0
346,Core i5,4.5,512 GB,16,INTEGRATED,0,Yes,36.83,5184000,109990.0
347,Core i9,5.0,1 TB,32,DEDICATED,8,No,40.64,4096000,241990.0
348,Core i7,4.4,1 TB,16,INTEGRATED,0,Yes,39.62,2073600,106990.0
349,Core i7,5.1,1 TB,32,DEDICATED,8,No,39.62,2073600,234990.0
351,Ryzen 7 Octa Core,4.7,512 GB,16,DEDICATED,4,No,40.89,2073600,105999.0
352,Core i7,4.7,1 TB,16,DEDICATED,8,No,39.62,8294400,193990.0
353,Ryzen 7 Octa Core,4.7,1 TB,32,DEDICATED,8,No,40.64,4096000,191990.0
356,Core i9,5.0,1 TB,16,DEDICATED,4,Yes,34.04,9216000,171990.0
357,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,35990.0
358,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,45990.0
359,Core i3,3.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,35990.0
361,Core i9,5.0,1 TB,32,INTEGRATED,0,Yes,35.56,5184000,159990.0
362,Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,8,No,39.62,2073600,146990.0
364,Core i5,4.2,512 GB,8,INTEGRATED,0,No,39.62,2073600,50499.0
365,Ryzen 5 Hexa Core,4.5,512 GB,16,INTEGRATED,0,No,33.78,2304000,67990.0
366,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,75990.0
367,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,78065.0
