Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
Core i9,5.0,1 TB,32,DEDICATED,8,No,40.64,4096000,241990.0
Core i5,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600,76990.0
Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,49990.0
Core i7,4.9,1 TB,16,DEDICATED,6,No,39.62,2073600,144990.0
Core i5,4.5,512 GB,16,INTEGRATED,0,Yes,35.56,5184000,104990.0
Core i5,4.2,256 GB,8,INTEGRATED,0,No,35.56,2073600,53990.0
Core i9,5.4,1 TB,32,DEDICATED,12,No,40.64,4096000,249990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,31990.0
Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,No,39.62,2073600,123990.0
Core i5,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,56990.0
Core i5,,1 TB,8,DEDICATED,4,No,39.62,2073600,65990.0
Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,No,39.62,3686400,145990.0
Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,No,35.56,2073600,60990.0
Ryzen 7 Octa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,73990.0
Core i7,4.7,1 TB,16,DEDICATED,6,No,40.64,4096000,170991.0
Ryzen 9 Octa Core,4.6,512 GB,16,DEDICATED,4,No,39.62,2073600,104990.0
Core i5,4.5,256 GB,8,DEDICATED,4,No,39.62,2073600,63990.0
Ryzen 3 Dual Core,3.5,NO_SSD,8,INTEGRATED,0,No,39.62,2073600,38990.0
Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,43.94,3686400,210990.0
