product_id,product_link,product_description,product_image
COMGM2MARRZZBPEF,https://www.flipkart.com/product/p/item?pid=COMGM2MARRZZBPEF,ASUS Zenbook 14 OLED Touch Intel EVO P-Series Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX3402ZA-KN531WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/o/z/q/-original-imagpxgqhgcfekmy.jpeg?q=70
COMGNP9PPPYN5TNG,https://www.flipkart.com/product/p/item?pid=COMGNP9PPPYN5TNG,ASUS ROG Zephyrus Duo 16 with 90WHr Battery Ryzen 9 16 Core 7945HX - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 4090/240 HZ) GX650PY-NM052WS Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/z/c/p/-original-imagz42ugkyzeaez.jpeg?q=70
COMG87FFPDWUZAKE,https://www.flipkart.com/product/p/item?pid=COMG87FFPDWUZAKE,ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) KM513UA-L502WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/t/z/e/-original-imagpxgqkzpfvapd.jpeg?q=70
COMGFWCYGHFSZTYA,https://www.flipkart.com/product/p/item?pid=COMGFWCYGHFSZTYA,ASUS ROG Zephyrus G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3080/165 Hz) GA503RS-HQ027WS Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l58iaa80/computer/e/u/f/ga503rm-hq030ws-gaming-laptop-asus-original-imagfyjedtcx2vfw.jpeg?q=70
COMG3Z7M7BWVWBHC,https://www.flipkart.com/product/p/item?pid=COMG3Z7M7BWVWBHC,ASUS EeeBook 12 Celeron Dual Core - (4 GB/64 GB EMMC Storage/Windows 10 Home) E210MA-GJ011T Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/l3t2fm80/computer/w/y/7/-original-imageuecxufgrnab.jpeg?q=70
COMGNY4VWHZKRSHT,https://www.flipkart.com/product/p/item?pid=COMGNY4VWHZKRSHT,ASUS Vivobook S 14 Intel EVO H-Series Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) S3402ZA-LY522WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/l/c/w/-original-imagqdrxhgqvhtms.jpeg?q=70
COMGARNUF2FCYCKZ,https://www.flipkart.com/product/p/item?pid=COMGARNUF2FCYCKZ,ASUS VivoBook Flip 14 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) TP470EA-EC302WS 2 in 1 Laptop,https://rukminim1.flixcart.com/image/416/416/l3t2fm80/computer/p/q/q/-original-imageuecysr3cuca.jpeg?q=70
COMGCZUJVKGPCCYE,https://www.flipkart.com/product/p/item?pid=COMGCZUJVKGPCCYE,ASUS ROG Strix Scar 15 (2022) Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti/240 Hz) G533ZW-LN136WS | G533ZWZ-LN136WS Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l0vbukw0/computer/4/i/k/-original-imagckcfgfba4fja.jpeg?q=70
COMGHYYK8FRAYF4Y,https://www.flipkart.com/product/p/item?pid=COMGHYYK8FRAYF4Y,HP Victus Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 16-d0310TX Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/kwv0djk0/computer/2/u/m/16-e0162ax-gaming-laptop-hp-original-imag9g7ytxnpfvxh.jpeg?q=70
COMGMGXFHUHQE3XZ,https://www.flipkart.com/product/p/item?pid=COMGMGXFHUHQE3XZ,ASUS Vivobook Go 15 (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ522WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/i/u/p/-original-imagpxgrxrqsmdqz.jpeg?q=70
COMGNVWYVPCKZURT,https://www.flipkart.com/product/p/item?pid=COMGNVWYVPCKZURT,ASUS Vivobook Pro 15 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) M6500QC-HN742WS Creator Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/i/s/4/m6500qc-hn742ws-creator-laptop-asus-original-imagnpk8aquksxgr.jpeg?q=70
COMGGUV6AKUDZZFR,https://www.flipkart.com/product/p/item?pid=COMGGUV6AKUDZZFR,ASUS TUF GAMING A15 Ryzen 7 Octa Core 4800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) FA506ICB-HN005W Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/m/t/8/fa506icb-hn005w-gaming-laptop-asus-original-imagguv66hcfz7yx.jpeg?q=70
COMGF478GJ9HHZGK,https://www.flipkart.com/product/p/item?pid=COMGF478GJ9HHZGK,DELL Ryzen 3 Quad Core 5425U - (8 GB/256 GB SSD/Windows 11 Home) Vostro 3425 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/l45xea80/computer/m/q/7/vostro-3425-thin-and-light-laptop-dell-original-imagf4mth22ydgqs.jpeg?q=70
COMGCWBEUEYYC7WH,https://www.flipkart.com/product/p/item?pid=COMGCWBEUEYYC7WH,realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/l1b1oy80/computer/g/y/l/book-prime-thin-and-light-laptop-realme-original-imagcwmbye2vak6g.jpeg?q=70
COMGHGYYUFPUPPZZ,https://www.flipkart.com/product/p/item?pid=COMGHGYYUFPUPPZZ,HP Ryzen 9 Octa Core 6900HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/AMD Radeon RX 6650M) 16-n0051AX Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/c/s/a/16-n0049ax-gaming-laptop-hp-original-imaghwptyggvfjjd.jpeg?q=70
COMGNY4VHFKQHXKP,https://www.flipkart.com/product/p/item?pid=COMGNY4VHFKQHXKP,ASUS Vivobook S 14 Flip (2022) Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home) TN3402QA-LZ520WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/j/6/p/-original-imagqdubhwatqz9t.jpeg?q=70
COMGDQHJFGMNK67R,https://www.flipkart.com/product/p/item?pid=COMGDQHJFGMNK67R,ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 7 Octa Core AMD R7-6800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/300 Hz) G513RM-HF272WS Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l0vbukw0/computer/z/o/e/-original-imagckcfz6jgjn3z.jpeg?q=70
COMGFWCYKAZEG8NU,https://www.flipkart.com/product/p/item?pid=COMGFWCYKAZEG8NU,ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 7 Octa Core 6800H - (32 GB/2 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) GX650RMZ-LS019WS Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l58iaa80/computer/5/q/p/gx650rm-ls019ws-gaming-laptop-asus-original-imagfyg8tkytthbb.jpeg?q=70
COMG4S3GZTQJDZJW,https://www.flipkart.com/product/p/item?pid=COMG4S3GZTQJDZJW,MSI GP76 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3070/240 Hz) GP76 Leopard 11UG-609IN Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/kr3tj0w0/computer/j/3/s/na-notebook-msi-original-imag4z5jfc9bzwyq.jpeg?q=70
