Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
Ryzen 7 Octa Core,4.7,1 TB,32,DEDICATED,8,No,40.64,4096000.0,191990.0
Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600.0,51990.0
Core i7,4.7,1 TB,16,DEDICATED,4,No,39.62,2073600.0,101990.0
Core i9,5.3,1 TB,32,DEDICATED,8,No,39.62,8294400.0,325990.0
M2,,256 GB,16,INTEGRATED,0,No,34.54,4259840.0,128990.0
Core i5,4.2,256 GB,8,INTEGRATED,0,No,39.62,2073600.0,49990.0
Ryzen 3 Dual Core,3.5,256 GB,8,INTEGRATED,0,No,38.0,2073600.0,36790.0
Core i5,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,67990.0
Core i5,4.6,512 GB,16,INTEGRATED,0,No,33.78,5184000.0,104990.0
Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600.0,67490.0
Core i7,4.7,1 TB,32,DEDICATED,8,No,39.62,3686400.0,275990.0
Core i5,4.4,512 GB,16,INTEGRATED,0,Yes,35.56,2073600.0,69990.0
Core i3,3.7,512 GB,8,INTEGRATED,0,Yes,35.56,2073600.0,51990.0
Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,40.89,2073600.0,97090.0
Ryzen 5 Hexa Core,4.2,512 GB,8,INTEGRATED,0,Yes,35.56,2304000.0,56990.0
Ryzen 7 Octa Core,4.5,512 GB,16,INTEGRATED,0,No,35.56,5184000.0,94990.0
Celeron Dual Core,2.8,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,27990.0
Core i9,5.0,1 TB,32,DEDICATED,16,No,43.94,2073600.0,323990.0
Core i5,4.5,512 GB,8,INTEGRATED,0,No,35.56,2304000.0,55990.0
Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,48499.0
Core i7,5.0,1 TB,16,INTEGRATED,0,No,33.78,5184000.0,149990.0
Ryzen 9 16 Core,5.4,2 TB,32,DEDICATED,16,No,40.64,4096000.0,429990.0
Core i5,4.2,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,60990.0
Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,39.62,3686400.0,181990.0
Core i7,4.6,1 TB,16,DEDICATED,6,No,39.62,2073600.0,113990.0
Ryzen 7 Octa Core,4.75,1 TB,16,INTEGRATED,0,No,33.78,2304000.0,77990.0
Ryzen 7 Octa Core,4.5,512 GB,16,INTEGRATED,0,No,40.64,2073600.0,73890.0
Core i5,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600.0,75990.0
Core i3,4.1,256 GB,8,INTEGRATED,0,Yes,35.56,2073600.0,44990.0
Ryzen 5 Quad Core,3.7,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,46990.0
Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600.0,115990.0
Core i5,5.0,512 GB,8,DEDICATED,4,No,39.62,2073600.0,50050.0
Core i5,4.4,256 GB,16,DEDICATED,8,No,39.62,2073600.0,89990.0
Ryzen 9 Octa Core,4.9,2 TB,32,DEDICATED,16,No,40.64,2304000.0,361990.0
Core i5,4.6,512 GB,16,INTEGRATED,0,No,33.78,5184000.0,109990.0
Core i9,5.6,1 TB,32,DEDICATED,12,No,40.64,4096000.0,279990.0
M1 Pro,,1 TB,16,INTEGRATED,0,No,41.15,7720704.0,243990.0
Core i5,4.6,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,76990.0
M2 Max,,1 TB,32,INTEGRATED,0,No,35.56,5939136.0,285490.0
M2,,512 GB,8,INTEGRATED,0,No,34.54,4259840.0,137990.0
Core i7,4.7,1 TB,16,INTEGRATED,0,No,35.56,5184000.0,93990.0
Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,39.62,3686400.0,177990.0
Core i7,4.7,1 TB,16,DEDICATED,6,No,39.62,3686400.0,129490.0
Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,39.62,3686400.0,174990.0
Ryzen 5 Hexa Core,,512 GB,16,INTEGRATED,0,No,40.64,2304000.0,54990.0
M1,,256 GB,16,INTEGRATED,0,No,33.78,4096000.0,111990.0
Core i7,5.0,1 TB,32,DEDICATED,0,No,40.64,4096000.0,185990.0
Athlon Dual Core,3.2,256 GB,4,INTEGRATED,0,No,35.56,1049088.0,17990.0
Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,No,35.56,2073600.0,59990.0
Core i9,5.4,2 TB,32,DEDICATED,16,No,40.64,4096000.0,364990.0
Ryzen 7 Octa Core,4.7,2 TB,32,DEDICATED,6,No,40.64,2304000.0,204990.0
Core i9,5.4,1 TB,32,DEDICATED,6,Yes,36.83,5184000.0,229898.0
Ryzen 5 Quad Core,3.5,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,47990.0
Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,45990.0
Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,6,No,39.62,3686400.0,166990.0
Core i5,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600.0,79990.0
Ryzen 5 Hexa Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,54490.0
Ryzen 7 Octa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600.0,73990.0
Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,45499.0
Ryzen 5 Dual Core,3.5,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,45690.0
Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,39.62,3686400.0,211990.0
Celeron Dual Core,2.8,NO_SSD,4,INTEGRATED,0,No,29.47000000000001,1049088.0,16990.0
Core i3,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,48990.0
Ryzen 5 Hexa Core,4.0,256 GB,8,INTEGRATED,0,No,39.62,2073600.0,53990.0
Core i7,5.0,1 TB,16,DEDICATED,8,No,39.62,2073600.0,169990.0
Core i5,4.7,512 GB,16,DEDICATED,4,No,35.56,5184000.0,82990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,40990.0
